Changes to be reflected on webiste,,Check Status,State Name,State Shortname,Entity,File Name,Google drive link,Document heirarchy,Parent file name,Source Link,Title length,ID as per document,Document title,Document short name,Type of Document/ Document Type-detail,Date of issuance,Year of Issuance,Petitioner,Respondents,Start year of consideration,End year of consideration,Document type,Sector,Sub-sector,Status,Issuing authority,Type of issuing authority,Additional tags,About document,Document format,Summary available on indiaredata.org,Sharmila's Comment,Amruta's Comments
,,,Karnataka,KA,,KA-KERC-Solar-Rooftop-Regulation-2016-Principal,https://drive.google.com/file/d/1IksqrGjiwtTBvTdCBsxhby7He1FbDdEa/view?usp=drive_link,Parent,KA-KERC-Solar-Regulation-2016-Principal,"https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/KERC%20%28Implementation%20of%20Solar%20Rooftop%20Photovoltaic%20Power%20Plants%29%20Regulations,%202016.pdf",122,Notification No. S/03/1,"Karnataka Electricity Regulatory  Commission (Implementation of Solar  Rooftop Photovoltic Power Plants) Regulations, 2016",KERC Solar Regulations 2016-Principal,,15 Dec 2016,2016,,,15 Dec 2016,,Regulation,Solar,Rooftop,Active,KERC,Commission,,,pdf,,IN RPO- Final-Download file and added the link,
,,,Karnataka,KA,,KA-KERC-RE-DSM-Regulation-2015-Principal,https://drive.google.com/file/d/1dtkWWLpDd5uCFhYY6PUxDUqAdBf1u14j/view?usp=drive_link,Parent,KA-KERC-RE-DSM-Regulation-2015-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/KERC_Forecasting_Scheduling_Regulation_2015.pdf,167,Notification No. KERC/CT/1/15,"Karnataka Electricity Regulatory Commission (Forecasting, Scheduling, Deviation settlement and related matters for Wind and Solar Generation Sources) Regulations, 2015",KERC RE Regulations 2015-Principal,,31 May 2016,2016,,,31 May 2016,,Regulation,RE,DSM/ F&S,Active,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-RE-DSM-Regulation-2015-1st_Amendment-2022,https://drive.google.com/file/d/1N2s64VNOOCiW6ekaNEQrpsCnxVwdluDb/view?usp=drive_link,Child,KA-KERC-RE-DSM-Regulation-2015-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1671530712.pdf,184,File No. CT/01/15(Vol-lll)/1956,"Karnataka Electricity Regulatory Commission (Forecasting, Scheduling, Deviation settlement and related matters for Wind and Solar Generation Sources) (First Amendment)Regulations, 2022",KERC RE Regulations 2015-1st Amendment,,13 Dec 2022,2022,,,,,Regulation,RE,DSM/ F&S,Active,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-RE-Green_OA-Regulation-2022-Principal,https://drive.google.com/file/d/1kHcE1G8LU4-cbIQKC9f1GvfLy5TBbjLu/view?usp=drive_link,Child,KA-KERC-RE-Green_OA-Regulation-2022-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1674194570.pdf,113,No. KERC-1-CON-2022-23/910/2206,"Karnataka Electricity Regulatory Commission (Terms and Conditions for Green Energy Open Access) Regulations, 2022",KERC Green OA Regulations 2023-Principal,,12 Jan 2023,2023,,,,,Regulation,RE,Green OA,Active,KERC,Commission,,,pdf,,,
,,Checked 20Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-5th_Amendment-2017-Draft,https://drive.google.com/file/d/1golVcPM1aQgeqnM5XxXaGsbCnJaLLsxT/view?usp=sharing,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1667194382.pdf,131,Notification No. Y/02/17,"Draft Karnataka Electricity RegulatoryCommission (Procurement of Energy from Renewable Sources) (Fifth Amendment) Regulations, 2017",KERC RPO Regulations 2011-5th Amendment Draft,,28 Nov 2017,2017,,,,,Regulation,RPO,RPO Targets,Draft,KERC,Commission,,,pdf,,,
,,Checked 20Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-6th_Amendment-2018-Draft,https://drive.google.com/file/d/1MjVrk-DZuVwuktFnAuOrz5gJI67ms8QO/view?usp=sharing,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1667194122.pdf,132,Notification No. Y/01/18,"Draft Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Sixth Amendment) Regulations, 2018",KERC RPO Regulations 2011-6th Amendment Draft,,11 Jul 2018,2018,,,,,Regulation,RPO,RPO Targets,Draft,KERC,Commission,,,pdf,,Resolved - The file was removed from the website. Ans- Download from the resource link,
,,Checked 20Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-7th_Amendment-2019-Draft,https://drive.google.com/file/d/1hliqhWuyTu115f_y0gAUfuiiVchRW_Y2/view?usp=sharing,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1663826105.pdf,133,Notification No. Y/01/2019-20/759,"Draft Karnataka Electricity RegulatoryCommission (Procurement of Energy from Renewable Sources) (Seventh Amendment) Regulations, 2019",KERC RPO Regulations 2011-7th Amendment Draft,,13 Sep 2019,2019,,,,,Regulation,RPO,RPO Targets,Draft,KERC,Commission,,,pdf,,Resolved - The file was removed from the website. Ans- Download from the resource link,
,,Checked 20Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-9th_Amendment-2022-Draft,https://drive.google.com/file/d/1TosLmUvike1Lmo57r0Z0XGNg0cmjD9tH/view?usp=sharing,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1664343035.pdf,131,Notification No. KERC/DD(TRN)/Y/02/22/779,"Draft Karnataka Electricity RegulatoryCommission (Procurement of Energy from Renewable Sources) (Ninth Amendment) Regulations, 2022",KERC RPO Regulations 2011-9th Amendment Draft,,9 Sep 2022,2022,,,1 Apr 2022,31 Mar 2023,Regulation,RPO,RPO Targets,Draft,KERC,Commission,,,pdf,,Resolved - The file was removed from the website. Ans- Download from the resource link,
,,,Karnataka,KA,,KA-KERC-RE-Green_OA-Regulation-2022-1st_Amendment-2023-Draft,https://drive.google.com/file/d/1h1Hjr5vusb3YBYdzu19BUpnPWUoD7LVR/view?usp=drive_link,Child,KA-KERC-Green_OA-Regulation-2022-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1702629374.pdf,137,No.KERC-1-CON-2022-23/P2/1322/888,"Draft Karnataka Electricity Regulatory Commission (Terms and Conditions for Green Energy Open Access) (First Amendment) Regulations, 2022",KERC Green OA Regulations 2023-1st Amendment Draft,,21 Nov 2023,2023,,,,,Regulation,RE,Green OA,Draft,KERC,Commission,,,pdf,,,
,,,Karnataka,KA,,KA-KERC-Solar-Peer_to_Peer-Regulation-2024-Principal-Draft,https://drive.google.com/file/d/1Pq8cseiaiaSb2UqCo10JH2BBgIRoLfVT/view?usp=drive_link,Child,KA-KERC-Solar-Peer_to_Peer-Regulation-2016-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1705925039.pdf,158,No.S/03/1/1203,"Draft Karnataka Electricity Regulatory Commission (Implementation of Peer to PeerSolar Energy Transaction through blockchain based platform) Regulations, 2024",KERC Solar P2P Regulations 2024-Principal Draft,,12 Jan 2024,2024,,,,,Regulation,Solar,Peer-to-Peer,Draft,KERC,Commission,,,pdf,,,
